"Language	Tweet ID	Phrase	Metaphoric lemmas	COVID metaphor label	Comment";
"sl	1234607893443469314	invazijo koron	invazija	y	";
"sl	1234607893443469314	èrno kugo		n	";
"sl	1234607893443469314	tekoèe milo za roke		n	";
"sl	1234607893443469314	pouèevanjih o umivanju rok		n	";
"sl	1234607893443469314	mm mila		n	";
"sl	1234772132288180224	morsko hrano v Wuhanu		n	";
"sl	1234772132288180224	podoben koronavirus		n	";
"sl	1234772132288180224	ACE2 receptorjev		n	";
"sl	1234772132288180224	prejšnji izbruhi	izbruh	y	not relation level";
"sl	1234786302056370176	odgovor na izbruh koronavirusa	odgovor,izbruh	y	";
"sl	1234786302056370176	preventivne ukrepe		n	";
"sl	1234786302056370176	zakonodajne aktivnosti		n	";
"sl	1234786302056370176	tiskovni konferenci		n	";
"sl	1235194024476078085	invazijo delavcev z Balkana	invazija	n	not covid rel";
"sl	1235194024476078085	pravno državo		n	";
"sl	1235194024476078085	pošiljko mask Kitajski		n	";
"sl	1235194024476078085	pranju denarja	pranje	n	not covid rel";
"sl	1236074930674044934	Druga žrtev korone	žrtev	y	";
"sl	1236074930674044934	sreèi videoblog		n	not syntactically related";
"sl	1236263965400936448	prvega vala inkubacijske dobe koronavirusa	val	y	";
"sl	1236263965400936448	masovnih dogodkov		n	";
"sl	1236263965400936448	popolna norost odhajajoèe vlade		n	";
"sl	1236263965400936448	kritiènega obdobja		n	";
"sl	1236300622820970496	sooèanje z izbruhom koronavirusa	sooèanje,izbruh	y	";
"sl	1236300622820970496	zdravstvena organizacija		n	";
"sl	1236300622820970496	poletnih mesecih		n	";
"sl	1237422787758866433	borbi proti korona virusu	borba	y	";
"sl	1237422787758866433	celo njivo		n	";
"sl	1237425959952953344	vojnega stanja zaradi korona virusa	vojen	y	";
"sl	1237425959952953344	javnega reda		n	";
"sl	1237425959952953344	tuje gospodarje	gospodar	n	not covid rel, not relation level";
"sl	1237425959952953344	JLA do razpada bivše domovine	razpad	n	not covid rel";
"sl	1237429317849792513	bitko s koronavirusom	bitka	y	";
"sl	1237429317849792513	odnosov z javnostmi		n	";
"sl	1237440404443803649	toplim vremenom virusi		n	";
"sl	1237440404443803649	drug teden karantena		n	";
"sl	1237440404443803649	posameznih obmoèij		n	";
"sl	1237470109272289280	boju proti corona virus	boj	y	";
"sl	1237733761745330179	prvo žrtev virusa	žrtev	y	";
